experiment,epoch,sample_count,entropy_mean,entropy_std,max_weight_mean,branch_lidar,branch_std_lidar,dom_lidar,branch_radar,branch_std_radar,dom_radar,branch_camera,branch_std_camera,dom_camera
exp_260707_032656_RL_3df_gate,0,1900,0.9698703289031982,0.02748040226837932,0.4325947165489197,0.268140971660614,0.05074272304773331,0.06210526078939438,0.32140547037124634,0.0601971261203289,0.23894736170768738,0.41045328974723816,0.07780496031045914,0.6989473104476929
exp_260707_032656_RL_3df_gate,1,1900,0.9732573628425598,0.025489568818973175,0.4274667501449585,0.28806450963020325,0.05276650935411453,0.102631576359272,0.3156190812587738,0.0678398534655571,0.27157893776893616,0.3963163197040558,0.08030761033296585,0.62578946352005
exp_260707_032656_RL_3df_gate,2,1900,0.9827561378479004,0.018387341733644536,0.404011994600296,0.28776782751083374,0.04693504422903061,0.08736841380596161,0.3544849157333374,0.0659598857164383,0.4436841905117035,0.35774704813957214,0.0555756501853466,0.4689473509788513
exp_260707_032656_RL_3df_gate,3,1900,0.9781930446624756,0.019646430578878993,0.41482019424438477,0.291826993227005,0.04763847589492798,0.05052631348371506,0.3054898679256439,0.05953115224838257,0.17263157665729523,0.40268322825431824,0.054470449686050415,0.7768420577049255
exp_260707_032656_RL_3df_gate,4,1900,0.9894980788230896,0.011114795231933799,0.3849848210811615,0.3153882920742035,0.03738860413432121,0.07999999821186066,0.32790613174438477,0.061638377606868744,0.36789470911026,0.356704980134964,0.0391099639236927,0.5521052479743958
exp_260707_032656_RL_3df_gate,5,1900,0.9883562326431274,0.011009064057921175,0.38968461751937866,0.30202236771583557,0.0398598350584507,0.06789473444223404,0.3366859257221222,0.060620907694101334,0.3821052312850952,0.3612914979457855,0.03810490667819977,0.5499999523162842
exp_260707_032656_RL_3df_gate,6,1900,0.9803904294967651,0.01890249067062785,0.40980827808380127,0.30225086212158203,0.035201892256736755,0.013684209436178207,0.30899399518966675,0.07429631054401398,0.27157893776893616,0.38875505328178406,0.05345648527145386,0.714736819267273
exp_260707_032656_RL_3df_gate,7,1900,0.9232951998710632,0.04752479912716437,0.4934599697589874,0.2134181410074234,0.06866428256034851,0.009999999776482582,0.33622071146965027,0.10573896765708923,0.28894734382629395,0.45036107301712036,0.10781870037317276,0.7010526061058044
exp_260707_032656_RL_3df_gate,8,1900,0.8740103840827942,0.016975797280334926,0.5304130911827087,0.12547798454761505,0.013239635154604912,0.0,0.5302268862724304,0.034843750298023224,0.9926315546035767,0.3442949652671814,0.0369621179997921,0.0073684207163751125
exp_260707_032656_RL_3df_gate,9,1900,0.8555993437767029,0.02095496091051337,0.5588423609733582,0.12000185251235962,0.0003519458696246147,0.0,0.5583859086036682,0.04374274984002113,0.9905262589454651,0.3216116726398468,0.04373849183320999,0.009473683312535286
exp_260707_032656_RL_3df_gate,10,1900,0.8320689797401428,0.025501448995166275,0.5989249348640442,0.11999974399805069,0.00025714567163959146,0.0,0.5989037156105042,0.03964260593056679,0.9994736313819885,0.28109604120254517,0.03964025527238846,0.0005263157654553652
