experiment,DECOUPLE,UNIQUE,3D@0.5_best,BEV@0.5_best,router_init,weather_tracking
exp_260710_155801,0.05,0.01,22.52%@ep10,60.89%@ep10,normal(0.01),BROKEN
exp_260710_160024,0.10,0.03,20.17%@ep18,49.83%@ep19,normal(0.01),BROKEN
