epoch,sample_count,entropy_mean,entropy_std,max_weight_mean,branch_lidar,branch_std_lidar,dom_lidar,branch_radar,branch_std_radar,dom_radar,branch_camera,branch_std_camera,dom_camera
0,18280,0.9291008114814758,0.11186278690770457,0.4524143934249878,0.45241445302963257,0.14794176816940308,1.0,0.2813778817653656,0.07774925231933594,0.0,0.266207754611969,0.07684978097677231,0.0
1,18280,0.9996964931488037,0.0,0.34467223286628723,0.3285634219646454,0.003989290911704302,0.07155361026525497,0.32692447304725647,0.0009134905994869769,0.0,0.34451234340667725,0.004505866207182407,0.9284464120864868
2,18280,0.9991868138313293,0.0,0.35330167412757874,0.3212589621543884,0.0017002427484840155,0.0,0.3254384398460388,0.001102018402889371,0.0,0.35330167412757874,0.0024822631385177374,1.0
3,18280,0.9988958835601807,0.0,0.35657501220703125,0.3198244571685791,0.00014950499462429434,0.0,0.32360076904296875,0.0006401421269401908,0.0,0.35657501220703125,0.000827921146992594,1.0
4,18280,0.9987264275550842,0.0053865388369621955,0.3582095801830292,0.31896913051605225,0.0,0.0,0.3228224813938141,0.0,0.0,0.3582095801830292,0.00032296768040396273,1.0
5,18280,0.9987878799438477,0.0,0.3576892018318176,0.3186851739883423,0.0,0.0,0.32362648844718933,0.0004485149693209678,0.0,0.3576892018318176,0.0007524919346906245,1.0
6,18280,0.998586118221283,0.003342688261141512,0.35957133769989014,0.31808197498321533,0.00021143197955098003,0.0,0.32234668731689453,0.0010176594369113445,0.0,0.35957133769989014,0.0011121134739369154,1.0
7,18280,0.9986413717269897,0.004997621370682553,0.35887381434440613,0.3176632821559906,0.0003662109375,0.0,0.3234623968601227,0.0011483696289360523,0.0,0.35887381434440613,0.0007221777341328561,1.0
8,18280,0.9985594153404236,0.004354900164677256,0.35945644974708557,0.31623491644859314,0.0012508485233411193,0.0,0.3243093192577362,0.00021143197955098003,0.0,0.35945644974708557,0.0013593174517154694,1.0
9,18280,0.9987697005271912,0.004295802510237424,0.35662615299224854,0.3157418370246887,0.0012418817495927215,0.0,0.3276328444480896,0.0018633224535733461,0.0,0.35662615299224854,0.0029700989834964275,1.0
10,18280,0.9992300868034363,0.004114729545635032,0.35121673345565796,0.3178001642227173,0.0,0.0,0.33098340034484863,0.0008844834519550204,0.0,0.35121673345565796,0.0007475249585695565,1.0
11,18280,0.9992859959602356,0.005494232456906631,0.34966549277305603,0.3178914785385132,0.0,0.0,0.33244556188583374,0.0,0.0,0.34966549277305603,0.0,1.0
12,18280,0.9992836117744446,0.0029336493588907864,0.3495556712150574,0.3174465298652649,0.0003452669770922512,0.0,0.3329988121986389,0.0,0.0,0.3495556712150574,0.000244140625,1.0
13,18280,0.9993089437484741,0.0,0.34956663846969604,0.31766992807388306,0.0007117860950529575,0.0,0.3327615559101105,0.0007768507348373532,0.0,0.34956663846969604,0.0009134905994869769,1.0
14,18280,0.9993062615394592,0.0,0.34904220700263977,0.3174488842487335,0.0,0.0,0.3335099518299103,0.00038602022686973214,0.0,0.34904220700263977,0.0,1.0
15,18280,0.9993252158164978,0.0,0.3490343391895294,0.3174218237400055,0.0,0.0,0.3335457444190979,0.00021143197955098003,0.0,0.3490343391895294,0.0,1.0
16,18280,0.999252438545227,0.007519468170433463,0.34976640343666077,0.3169673681259155,0.0,0.0,0.33326736092567444,0.0,0.0,0.34976640343666077,0.0006103515625,1.0
17,18280,0.999187707901001,0.0,0.3509266972541809,0.31616348028182983,0.0,0.0,0.33290958404541016,0.0,0.0,0.3509266972541809,0.0006224389071576297,1.0
18,18280,0.9990791082382202,0.009883240165897358,0.35163673758506775,0.3156917989253998,0.0008501213742420077,0.0,0.332673579454422,0.0,0.0,0.35163673758506775,0.0,1.0
19,18280,0.9989035725593567,0.008267797005265986,0.3534908592700958,0.3139818012714386,0.0006459353608079255,0.0,0.3325313329696655,0.0,0.0,0.3534908592700958,0.00037624596734531224,1.0
